sample_id,formal_bound_summary,ai_explanation,expert_violation_class,expert_severity,expert_confidence_1to5,expert_notes
ER-011,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is s_or_u_format_control.
- Source identifier 10 communicated with destination identifier 21.
- The observed source port is 44970 and the observed destination port is 2404.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is IEC104_CONTROL_FRAME_OBSERVATION.
- The observation pattern is iec104_control_frame_pattern.","The IEC104 control frame pattern was observed in a network communication from source identifier 10 to destination identifier 21, following an event timestamp of 1654646406631 ms using protocol hint iec104 within the formal bound version 2.1 and under proxy_until_official_automaton_schema schema status conditions. The communication direction was client-to0server with a s_or_u_format_control frame type, where source port is noted as 44970 and destination port at 2404; the packet size recorded stands at 46 bytes within an atomic row granularity level of observation. The formal class IEC104_CONTROL_FRAME_OBSERVATION, which serves merely as a proxy label for this pattern without ground truth attack confirmation, aligns with observed ASDU fields such as address (0), COT (also 0), and item count (0). No additional claims beyond the formal bound can be made regarding causality or mitigation actions.",,,,
ER-012,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 390 communicated with destination identifier 8.
- The observed source port is 2404 and the observed destination port is 59992.
- The observed packet size is 67 bytes and the packet length field is 25.
- The observed ASDU address is 303.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On June 15, 2022, at 23:40:05.948 UTC, an IEC-104 communication event was observed between source identifier 390 and destination identifier 8. The protocol hint for this event is iec104, indicating that it conforms to the IEC-104 protocol standard. The communication direction is server_to_client, meaning that the server (source identifier 390) sent a message to the client (destination identifier 8). The observed frame type is i_format_information_transfer, and the proxy formal class for this event is IEC104_BASELINE_MEASUREMENT_OBSERVATION, indicating that it conforms to a baseline measurement pattern. The observed ASDU fields include an address of 303, a COT of 3, one item count, and an ASDU type of 36.",,,,
ER-013,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 497 communicated with destination identifier 1.
- The observed source port is 2404 and the observed destination port is 58172.
- The observed packet size is 60 bytes and the packet length field is 18.
- The observed ASDU address is 83.
- The observed ASDU type is 13, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","At timestamp 1654646411090, an IEC-104 network event (evt_012733) occurred within the eon_iec dataset. The observed communication was from server to client, with source identifier 497 and destination identifier 1. The source port was 2404, and the destination port was 58172. The packet size was 60 bytes, and the packet length field was 18.

The observed frame type was i_format_information_transfer, and the ASDU address was 83. The ASDU contained one item of type 13, with a Communication Object Type (COT) of 3. This event conforms to the iec104_information_transfer_pattern. However, it is important to note that the formal class associated with this observation is IEC104_OBSERVATION_UNCLASSIFIED, which is a proxy label and not a confirmed attack label. Therefore, no definitive conclusions regarding the security implications of this event can be drawn based on the provided information alone.",,,,
ER-014,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 163 communicated with destination identifier 1.
- The observed source port is 2404 and the observed destination port is 57498.
- The observed packet size is 79 bytes and the packet length field is 25.
- The observed ASDU address is 220.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is IEC104_BASELINE_MEASUREMENT_OBSERVATION.
- The observation pattern is dominant_iec104_measurement_pattern.","At timestamp 1654646406424, an IEC-104 network event (evt_007668) occurred within the eon_iec dataset. The observed communication was from server to client, with source identifier 163 and destination identifier 1. The source port was 2404, and the destination port was 57498. The packet size was 79 bytes, but only 25 bytes were used in the frame length field.

The observed frame type was i_format_information_transfer, and it followed the dominant_iec104_measurement_pattern. The ASDU address was 220, with an ASDU type of 36, COT of 3, and a single item count. This event is classified as a proxy observation under the IEC104_BASELINE_MEASUREMENT_OBSERVATION formal class, which does not confirm or deny any security conclusions. It should be noted that this classification is a proxy label and not a confirmed attack label.",,,,
ER-015,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is i_format_information_transfer.
- Source identifier 615 communicated with destination identifier 1.
- The observed source port is 1024 and the observed destination port is 2404.
- The observed packet size is 74 bytes and the packet length field is 20.
- The observed ASDU address is 4117.
- The observed ASDU type is 103, COT is 7, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","At timestamp 1654646405627, an IEC-104 network event (evt_004681) occurred with the observed protocol being IEC104 and communication direction as client_to_server. The source identifier was 615 and the destination identifier was 1. The source port was 1024, while the destination port was 2404. The packet size was 74 bytes, with a packet length field of 20.

The observed frame type was i_format_information_transfer, and the ASDU fields were as follows: the ASDU address was 4117, the COT (Communication Object Type) was 7, and there was one ASDU item with type 103. This event conforms to the iec104_information_transfer_pattern and is currently labeled as IEC104_OBSERVATION_UNCLASSIFIED, which is a proxy observation label and not a confirmed attack label. No further security conclusions can be drawn from this observation based on the provided formal bound.",,,,
ER-016,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is s_or_u_format_control.
- Source identifier 1 communicated with destination identifier 57.
- The observed source port is 34440 and the observed destination port is 2404.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is IEC104_CONTROL_FRAME_OBSERVATION.
- The observation pattern is iec104_control_frame_pattern.","At timestamp 1654646406485, an IEC-104 control frame observation (IEC104_CONTROL_FRAME_OBSERVATION) was detected in the eon_iec dataset. The observed communication direction was client-to-server between source identifier 1 and destination identifier 57. The source port was 34440, and the destination port was 2404. The packet size was 46 bytes, with a packet length field of 4.

The ASDU fields observed were an address of 0, type of 0, COT of 0, and no items. This frame followed the iec104_control_frame_pattern. However, it is important to note that the current formal class is a proxy observation label (proxy_not_ground_truth_attack_label), not a confirmed attack label. Therefore, any conclusions regarding malicious activity cannot be definitively drawn from this observation alone.",,,,
ER-017,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is i_format_information_transfer.
- Source identifier 126 communicated with destination identifier 38.
- The observed source port is 2405 and the observed destination port is 51717.
- The observed packet size is 67 bytes and the packet length field is 25.
- The observed ASDU address is 1813.
- The observed ASDU type is 36, COT is 3, and ASDU item count is 1.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","The network observation identified by Event ID evt_002974 within eon_iec dataset at granularity atomic_row and timestamped as 1654646405182, involves communication between source identifier 126 and destination identifier 38. The packet size was recorded to be 67 bytes with a length field of 25 over ports 2405 (source) and 51717 (destination). This event utilized the i_format_information_transfer frame type, aligning with IEC-104 protocol standards. However, due to an unknown communication direction and unverified formal class UNKNOWN_NON_IEC104 status as a proxy observation label, no definitive security conclusion can be drawn from the available data alone at this time. The ASDU address was 1813 with type 36 COT item count of one in an unspecified communication direction and protocol hint remains unknown based on version 2.1 schema status under a proxy_until_official_automaton_schema dataset, which does not confirm any malicious activity or security breach without further investigation into the formal class ground truth attack label.",,,,
ER-018,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is i_format_information_transfer.
- Source identifier 38 communicated with destination identifier 37.
- The observed source port is 51770 and the observed destination port is 2404.
- The observed packet size is 60 bytes and the packet length field is 18.
- The observed ASDU address is 1001.
- The observed ASDU type is 50, COT is 6, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","The IEC104_OBSERVATION_UNCLASSIFIED label indicates that, as of version 2.1 with a proxy schema status until an official automaton is established for classification, we have identified communication between source identifier 38 and destination identifier 37 within the industrial control system (ICS) network using IEC-104 protocol over client_to0server direction at timestamp ms: 1654646404256. The observed packet size was recorded as 60 bytes with a length field of 18, transmitted through source port 51770 and destination port 2404 respectively. This event aligns with the iec104_information_transfer_pattern within an atomic row granularity level in eon_iec dataset without any explicit indication towards malicious intent or causality, as per the formal bound provided. The ASDU address was noted to be 1001, and associated fields such as COT (6), type (50), item count (1) were consistent with standard IEC-104 communication parameters for information transfer frames within this dataset's schema status of proxy_until_official_automaton_schema.",,,,
ER-019,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is i_format_information_transfer.
- Source identifier 38 communicated with destination identifier 37.
- The observed source port is 51770 and the observed destination port is 2404.
- The observed packet size is 60 bytes and the packet length field is 18.
- The observed ASDU address is 1001.
- The observed ASDU type is 50, COT is 6, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646405272, source identifier 38 communicated with destination identifier 37 over an iec104 protocol hint in client_to_server direction. The observed frame type was i_format_information_transfer and followed the iec104_information_transfer_pattern. The communication involved a packet size of 60 bytes and a packet length field of 18. The ASDU address was 1001, with an ASDU type of 50, COT of 6, and ASDU item count of 1. The current formal class is IEC104_OBSERVATION_UNCLASSIFIED, which is a proxy observation label and not a confirmed attack label.",,,,
ER-020,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 388 communicated with destination identifier 18.
- The observed source port is 2404 and the observed destination port is 35146.
- The observed packet size is 62 bytes and the packet length field is 20.
- The observed ASDU address is 22.
- The observed ASDU type is 103, COT is 7, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","Here is a formally bounded IEC-104 network observation in precise operational English:

On 2022-06-15 at 14:31:52.952, an IEC-104 server-to-client communication was observed between source identifier 388 and destination identifier 18. The observed protocol hint is iec104, with the frame type being i_format_information_transfer. The source port is 2404 and the destination port is 35146. The packet size is 62 bytes, with a packet length field of 20. The ASDU address is 22, ASDU type is 103, COT is 7, and ASDU item count is 1. The observed communication pattern matches iec104_information_transfer_pattern. The current formal class for this observation is IEC104_OBSERVATION_UNCLASSIFIED, which is a proxy label and not a confirmed attack label.",,,,
ER-021,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 312 communicated with destination identifier 1.
- The observed source port is 2404 and the observed destination port is 48874.
- The observed packet size is 62 bytes and the packet length field is 20.
- The observed ASDU address is 61.
- The observed ASDU type is 103, COT is 7, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","The IEC104_OBSERVATION_UNCLASSIFIED label indicates that, based on the provided formal observation of event evt_007975 within dataset eon_iec at granularity atomic_row and timestamped as 1654646406529 using schema proxy_until_official_automaton_schema in version 2.1, the network traffic between source identifier 312 (server) to destination identifier 1 has been identified through a pattern consistent with iec104 information transfer protocols and direction server_to_client. The packet size of 62 bytes transmitted over port numbers 2404 from source and 48874 at the destination, along with ASDU fields such as address 61, cot number 7, type 103 (COT), item count one, all align within expected IEC-104 communication parameters. As this formal class status is proxy_not_ground_truth_attack_label and no additional malicious intent or causality has been established beyond the observed packet exchange at a single timestamp, it remains an unclassified observation pending further analysis to confirm normalcy or identify potential security concerns within IEC-104 network traffic.",,,,
ER-022,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is unknown.
- The observed communication direction is unknown.
- The observed frame type is u_format_control.
- Source identifier 38 communicated with destination identifier 831.
- The observed source port is 51790 and the observed destination port is 2405.
- The observed packet size is 46 bytes and the packet length field is 4.
- The observed ASDU address is 0.
- The observed ASDU type is 0, COT is 0, and ASDU item count is 0.
- The proxy formal class is UNKNOWN_NON_IEC104.
- The observation pattern is unknown_or_non_iec104_pattern.","Here is a precise operational English explanation of the formally bounded IEC-104 network observation:

On timestamp 1654646411413, source identifier 38 communicated with destination identifier 831 over an unknown protocol hint and communication direction. The observed frame type was u_format_control. The packet size was 46 bytes, with a packet length field of 4. The source port was 51790 and the destination port was 2405. The ASDU address, COT, and item count were all 0. The proxy formal class is UNKNOWN_NON_IEC104, indicating that the observation pattern is unknown or non-IEC104. This classification is a proxy label and not a confirmed attack label.",,,,
ER-023,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is client_to_server.
- The observed frame type is i_format_information_transfer.
- Source identifier 428 communicated with destination identifier 1.
- The observed source port is 1024 and the observed destination port is 2404.
- The observed packet size is 74 bytes and the packet length field is 20.
- The observed ASDU address is 4202.
- The observed ASDU type is 103, COT is 7, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","At timestamp 1654646405961, an information transfer event (event ID: evt_005964) occurred within the industrial control system network (dataset: eon_iec). The observed protocol was IEC-104, and the communication direction was from client to server. Specifically, source identifier 428 communicated with destination identifier 1 using port numbers 1024 and 2404 respectively. The packet size was 74 bytes, with a packet length field of 20 bytes.

The observed frame type was i_format_information_transfer, and the ASDU fields were as follows: ASDU address - 4202, ASDU type - 103, COT - 7, and ASDU item count - 1. This event conforms to the IEC104_information_transfer_pattern. However, it is important to note that the formal class assigned to this observation is a proxy label (IEC104_OBSERVATION_UNCLASSIFIED), which does not confirm or deny any malicious intent associated with this event. Without additional context or evidence, no definitive security conclusions can be drawn from this observation alone.",,,,
ER-024,"[Formal bound v2.1, schema status: proxy_until_official_automaton_schema]
- The observed protocol hint is iec104.
- The observed communication direction is server_to_client.
- The observed frame type is i_format_information_transfer.
- Source identifier 48 communicated with destination identifier 38.
- The observed source port is 2404 and the observed destination port is 51820.
- The observed packet size is 60 bytes and the packet length field is 18.
- The observed ASDU address is 1002.
- The observed ASDU type is 50, COT is 7, and ASDU item count is 1.
- The proxy formal class is IEC104_OBSERVATION_UNCLASSIFIED.
- The observation pattern is iec104_information_transfer_pattern.","The IEC104_OBSERVATION_UNCLASSIFIED label indicates that, based on the provided formal observation of event evt_006981 within dataset eon_iec at granularity atomic_row and timestamped as 1654646406277 under schema proxy_until_official_automaton_schema (version 2.1), the network traffic between source identifier 48 and destination identifier 38 via server-to0client communication direction is identified by an IEC104 protocol hint, with a packet size of 60 bytes containing frame type i_format_information_transfer data as per iec104_information_transfer_pattern. The source port observed was 2404 and the destination port was 51820; this communication included an ASDU address of 1002, with a COT value of 7, one item in the ASDU type set to 50, all within bounds consistent for IEC-104 protocol. As per current formal class status and without additional context or ground truth attack labels present, this observation remains as an unclassified proxy label indicating no confirmed malicious intent but rather a standard communication exchange under these parameters at the given timestamp in time.",,,,
